Age,Gender,Living_Status,Credit_Amt>20000,Credit_overdue,Car_two_wheeler,Residence,Credit_default,Stable_Income,Employment_Tenure(Months),Monthly_Income,Alternative_Source,Loan_repayment,Loan_type,Loan_default,Loan_int_rate,Loan_Amt,Collateral_asset,Financial_Counselling,Financial_budgeting,Credit_rating_awareness,Bank_name,Bank_tenure,Loan_services_usage,Interaction_time,Interest_rate_satisfaction,Digital_lending,Digital_leding_frequency,Recommendation_likelihood,loan_processing_delays,Financial_advice,churn_possibility,Reasons_for_churn
41,Male,Single,No,No,No,Rural Area,No,Yes,20,78100,Yes,No,Debt Consolidation,No,5,1537500,No,Yes,I maintain a budget,Yes,Canara bank ,More than 3 Years,1-3 Times,Less than 1 Hour,Neutral,No,Almost Never,4,No,Occasionally,No,Better loan terms and conditions elsewhere
41,Male,"Conjugal (Married, Live-in, Co live)",No,No,No,Rural Area,No,Yes,22,79300,Yes,No,Medical ,No,6,1569500,No,Yes,I maintain a budget,Yes,Canara bank ,More than 3 Years,1-3 Times,Less than 1 Hour,Neutral,No,Almost Never,5,No,Occasionally,No,Better loan terms and conditions elsewhere
22,Male,Single,Yes,Yes,No,Tier 1 City,Yes,No,4,22000,No,Yes,Educational Loan,Yes,12,42000,No,No,I don't have a specific budget,Yes,SBI,More than 3 Years,1-3 Times,Less than 1 Hour,Neutral,Yes,Very Frequently,5,No,Rarely,No,Better loan terms and conditions elsewhere
31,Female,Single,Yes,Yes,Yes,Tier 1 City,Yes,Yes,4,37000,No,No,Debt Consolidation,Yes,15,745500,No,No,I don't have a specific budget,Yes,Federal Bank,More than 3 Years,1-3 Times,Less than 1 Hour,Very satisfied,Yes,Very Frequently,3,No,Occasionally,No,Better loan terms and conditions elsewhere
32,Female,Single,Yes,Yes,Yes,Tier 1 City,Yes,Yes,8,37000,No,No,Debt Consolidation,Yes,13,801500,No,No,I don't have a specific budget,Yes,Federal Bank,More than 3 Years,1-3 Times,Less than 1 Hour,Very satisfied,Yes,Very Frequently,5,No,Occasionally,No,Better loan terms and conditions elsewhere
32,Female,Single,Yes,Yes,No,Rural Area,Yes,No,9,37000,No,No,Medical ,Yes,14,825500,No,No,I don't have a specific budget,No,Canara bank ,More than 3 Years,1-3 Times,Less than 1 Hour,Neutral,Yes,Very Frequently,4,No,Rarely,No,Better loan terms and conditions elsewhere
32,Female,Single,Yes,Yes,No,Rural Area,Yes,No,11,37000,No,No,Medical ,Yes,14,857500,No,No,I don't have a specific budget,Yes,Canara bank ,More than 3 Years,1-3 Times,Less than 1 Hour,Neutral,Yes,Very Frequently,5,No,Rarely,No,Better loan terms and conditions elsewhere
32,Male,Single,Yes,Yes,Yes,Tier 1 City,Yes,Yes,13,37000,No,No,Home Loan,Yes,14,881500,No,No,I don't have a specific budget,Yes,Federal Bank,More than 3 Years,1-3 Times,Less than 1 Hour,Very satisfied,Yes,Very Frequently,4,No,Occasionally,No,Better loan terms and conditions elsewhere
34,Male,"Conjugal (Married, Live-in, Co live)",No,No,No,Tier 1 City,Yes,No,18,44100,No,Yes,Debt Consolidation,Yes,16,969500,No,No,I don't have a specific budget,Yes,SBI,More than 3 Years,1-3 Times,Less than 1 Hour,Neutral,Yes,Occassionally,5,No,Frequently,No,Better loan terms and conditions elsewhere
34,Female,"Conjugal (Married, Live-in, Co live)",No,No,No,Rural Area,Yes,No,22,44535,Yes,Yes,Debt Consolidation,Yes,16,1025500,Yes,No,I maintain a budget,No,Canara bank ,More than 3 Years,1-3 Times,Less than 1 Hour,Neutral,Yes,Occassionally,5,No,Rarely,No,Better loan terms and conditions elsewhere
35,Male,Single,Yes,No,No,Tier 1 City,Yes,Yes,23,44730,No,Yes,Ventures,Yes,13,1049500,No,No,I don't have a specific budget,Yes,SBI,More than 3 Years,1-3 Times,Less than 1 Hour,Neutral,Yes,Occassionally,3,No,Frequently,No,Better loan terms and conditions elsewhere
29,Female,Single,No,Yes,No,Tier 1 City,Yes,No,23,27400,No,No,Debt Consolidation,Yes,12,585500,No,No,I don't have a specific budget,Yes,SBI,More than 3 Years,1-3 Times,Less than 1 Hour,Neutral,Yes,Frequently,5,No,Frequently,No,Dissatisfaction with our financial institution's services
29,Male,Single,No,Yes,No,Tier 1 City,Yes,No,11,22000,No,Yes,Debt Consolidation,Yes,15,641500,No,No,I don't have a specific budget,Yes,SBI,More than 3 Years,1-3 Times,Less than 1 Hour,Neutral,Yes,Frequently,4,No,Frequently,No,Dissatisfaction with our financial institution's services
30,Female,Single,Yes,Yes,No,Rural Area,Yes,No,15,24100,Yes,Yes,Debt Consolidation,Yes,14,697500,No,No,I don't have a specific budget,No,Canara bank ,More than 3 Years,1-3 Times,Less than 1 Hour,Neutral,No,Almost Never,5,No,Rarely,No,Dissatisfaction with our financial institution's services
29,Female,Single,Yes,Yes,No,Rural Area,Yes,No,23,27700,Yes,No,Debt Consolidation,Yes,13,593500,No,No,I don't have a specific budget,No,Canara bank ,More than 3 Years,1-3 Times,Less than 1 Hour,Neutral,Yes,Frequently,4,No,Rarely,No,Dissatisfaction with our financial institution's services
29,Female,"Conjugal (Married, Live-in, Co live)",Yes,Yes,Yes,Tier 2 City,Yes,Yes,12,22300,No,Yes,Debt Consolidation,Yes,15,649500,No,No,I don't have a specific budget,Yes,Axis bank,More than 3 Years,1-3 Times,Less than 1 Hour,Neutral,No,Frequently,5,No,Occasionally,No,Dissatisfaction with our financial institution's services
30,Male,Single,No,No,Yes,Tier 1 City,No,Yes,15,24400,Yes,No,Debt Consolidation,Yes,16,705500,No,No,I don't have a specific budget,Yes,Federal Bank,More than 3 Years,1-3 Times,Less than 1 Hour,Very satisfied,Yes,Frequently,5,No,Occasionally,No,Dissatisfaction with our financial institution's services
37,Female,Single,No,No,No,Rural Area,No,Yes,17,66700,No,Yes,Debt Consolidation,No,6,1233500,No,Yes,I don't have a specific budget,Yes,Federal Bank,More than 3 Years,1-3 Times,Less than 1 Hour,Very satisfied,No,Rarely,3,No,Rarely,No,Dissatisfaction with our financial institution's services
37,Female,Single,No,No,No,Rural Area,Yes,Yes,18,67600,Yes,No,Medical ,No,7,1257500,Yes,Yes,I maintain a budget,Yes,Canara bank ,More than 3 Years,1-3 Times,Less than 1 Hour,Neutral,No,Almost Never,5,No,Rarely,No,Dissatisfaction with our financial institution's services
37,Female,"Conjugal (Married, Live-in, Co live)",No,No,No,Tier 1 City,No,Yes,20,68800,Yes,Yes,Debt Consolidation,No,4,1289500,No,Yes,I maintain a budget,Yes,"Canara, HDFC ",More than 3 Years,1-3 Times,Less than 1 Hour,Very satisfied,No,Almost Never,4,No,Rarely,No,Dissatisfaction with our financial institution's services
38,Female,Single,Yes,No,No,Tier 1 City,No,Yes,22,69700,Yes,No,Medical ,No,6,1313500,No,Yes,I maintain a budget,Yes,"Canara, HDFC ",More than 3 Years,1-3 Times,Less than 1 Hour,Very satisfied,No,Almost Never,5,No,Rarely,No,Dissatisfaction with our financial institution's services
39,Male,Single,No,Yes,No,Tier 1 City,Yes,Yes,9,45250,Yes,Yes,Debt Consolidation,Yes,12,1353500,No,No,I don't have a specific budget,Yes,SBI,More than 3 Years,1-3 Times,Less than 1 Hour,Neutral,No,Very Frequently,4,No,Frequently,No,Dissatisfaction with our financial institution's services
39,Female,"Conjugal (Married, Live-in, Co live)",Yes,No,Yes,Tier 2 City,No,Yes,10,72100,Yes,Yes,Home Loan,No,7,1377500,Yes,Yes,I maintain a budget,Yes,Axis bank,More than 3 Years,1-3 Times,Less than 1 Hour,Neutral,No,Rarely,5,No,Occasionally,No,Dissatisfaction with our financial institution's services
39,Male,Single,No,No,Yes,Tier 2 City,No,Yes,12,73300,Yes,No,Medical ,No,4,1409500,No,Yes,I maintain a budget,Yes,Axis bank,More than 3 Years,1-3 Times,Less than 1 Hour,Neutral,No,Rarely,5,No,Occasionally,No,Dissatisfaction with our financial institution's services
39,Female,Single,No,No,No,Tier 1 City,No,Yes,14,74200,Yes,Yes,Debt Consolidation,No,5,1433500,No,Yes,I maintain a budget,Yes,"Canara, HDFC ",More than 3 Years,1-3 Times,Less than 1 Hour,Very satisfied,No,Almost Never,3,No,Rarely,No,Dissatisfaction with our financial institution's services
40,Male,"Conjugal (Married, Live-in, Co live)",No,No,No,Rural Area,No,Yes,16,75400,Yes,No,Debt Consolidation,No,5,1465500,No,Yes,I don't have a specific budget,Yes,Federal Bank,More than 3 Years,1-3 Times,Less than 1 Hour,Very satisfied,No,Rarely,5,No,Occasionally,No,Dissatisfaction with our financial institution's services
40,Female,Single,No,Yes,Yes,Rural Area,Yes,Yes,17,46000,Yes,No,Debt Consolidation,Yes,12,1489500,No,No,I don't have a specific budget,Yes,SBI,More than 3 Years,1-3 Times,Less than 1 Hour,Very satisfied,No,Very Frequently,4,No,Occasionally,No,Dissatisfaction with our financial institution's services
40,Female,"Conjugal (Married, Live-in, Co live)",Yes,No,No,Rural Area,No,Yes,19,77500,Yes,No,Medical ,No,6,1521500,No,Yes,I don't have a specific budget,Yes,Federal Bank,More than 3 Years,1-3 Times,Less than 1 Hour,Very satisfied,No,Rarely,5,No,Occasionally,No,Dissatisfaction with our financial institution's services
41,Male,Single,Yes,No,No,Tier 1 City,No,Yes,21,78400,Yes,Yes,Ventures,No,8,1545500,No,Yes,I maintain a budget,Yes,HDFC Bank,More than 3 Years,1-3 Times,Less than 1 Hour,Neutral,No,Occassionally,4,No,Occasionally,No,Dissatisfaction with our financial institution's services
41,Female,Single,No,No,No,Tier 1 City,No,Yes,23,79600,Yes,No,Medical ,No,6,1577500,No,Yes,I maintain a budget,Yes,HDFC Bank,More than 3 Years,1-3 Times,Less than 1 Hour,Neutral,No,Occassionally,5,No,Occasionally,No,Dissatisfaction with our financial institution's services
30,Female,Single,Yes,Yes,No,Rural Area,Yes,No,22,29000,No,Yes,Debt Consolidation,Yes,15,697500,No,No,I don't have a specific budget,No,Canara bank ,More than 3 Years,1-3 Times,Less than 1 Hour,Neutral,Yes,Very Frequently,5,No,Rarely,No,Dissatisfaction with our financial institution's services
30,Male,"Conjugal (Married, Live-in, Co live)",Yes,Yes,Yes,Tier 1 City,Yes,Yes,23,39500,No,Yes,Debt Consolidation,Yes,15,721500,No,No,I don't have a specific budget,Yes,Federal Bank,More than 3 Years,1-3 Times,Less than 1 Hour,Very satisfied,Yes,Frequently,3,No,Occasionally,No,Dissatisfaction with our financial institution's services
31,Male,Single,Yes,Yes,Yes,Tier 2 City,Yes,Yes,5,37000,No,Yes,Debt Consolidation,Yes,13,753500,No,No,I don't have a specific budget,Yes,Axis bank,More than 3 Years,1-3 Times,Less than 1 Hour,Neutral,Yes,Very Frequently,5,No,Occasionally,No,Dissatisfaction with our financial institution's services
32,Female,Single,Yes,Yes,No,Rural Area,Yes,No,8,37000,No,No,Medical ,Yes,16,809500,No,No,I don't have a specific budget,No,Federal Bank,More than 3 Years,1-3 Times,Less than 1 Hour,Very satisfied,Yes,Very Frequently,4,No,Rarely,No,Dissatisfaction with our financial institution's services
32,Female,Single,Yes,Yes,Yes,Tier 2 City,Yes,Yes,12,37000,No,No,Medical ,Yes,15,865500,No,No,I don't have a specific budget,Yes,Axis bank,More than 3 Years,1-3 Times,Less than 1 Hour,Neutral,Yes,Very Frequently,5,No,Occasionally,No,Dissatisfaction with our financial institution's services
32,Male,Single,No,Yes,No,Rural Area,Yes,No,13,37000,No,Yes,Debt Consolidation,Yes,12,889500,No,No,I don't have a specific budget,Yes,Canara bank ,More than 3 Years,1-3 Times,Less than 1 Hour,Neutral,Yes,Very Frequently,4,No,Rarely,No,Dissatisfaction with our financial institution's services
34,Male,Single,No,No,Yes,Tier 2 City,No,Yes,19,44150,No,Yes,Debt Consolidation,Yes,14,977500,Yes,No,I maintain a budget,Yes,Axis bank,More than 3 Years,1-3 Times,Less than 1 Hour,Neutral,Yes,Occassionally,5,No,Occasionally,No,Dissatisfaction with our financial institution's services
34,Male,Single,No,No,Yes,Tier 2 City,No,Yes,20,44340,No,Yes,Ventures,Yes,13,1001500,Yes,No,I maintain a budget,Yes,Axis bank,More than 3 Years,1-3 Times,Less than 1 Hour,Neutral,Yes,Occassionally,5,No,Occasionally,No,Dissatisfaction with our financial institution's services
35,Male,"Conjugal (Married, Live-in, Co live)",No,No,No,Tier 1 City,Yes,No,22,44600,No,No,Medical ,Yes,12,1033500,Yes,No,I maintain a budget,Yes,SBI,More than 3 Years,1-3 Times,Less than 1 Hour,Neutral,Yes,Occassionally,3,No,Frequently,No,Dissatisfaction with our financial institution's services
35,Male,Single,No,No,No,Tier 1 City,No,Yes,23,44795,No,No,Medical ,Yes,16,1057500,No,No,I don't have a specific budget,Yes,"Canara, HDFC ",More than 3 Years,1-3 Times,Less than 1 Hour,Very satisfied,Yes,Occassionally,5,No,Rarely,No,Dissatisfaction with our financial institution's services
22,Male,Single,No,Yes,No,Tier 1 City,Yes,No,4,22000,No,Yes,Educational Loan,Yes,13,42000,No,No,I don't have a specific budget,No,SBI,More than 3 Years,1-3 Times,Less than 1 Hour,Neutral,Yes,Frequently,4,No,Rarely,No,Lower interest rates elsewhere
29,Male,Single,No,Yes,Yes,Tier 2 City,Yes,Yes,22,27100,No,Yes,Debt Consolidation,Yes,15,577500,No,No,I don't have a specific budget,Yes,Axis bank,More than 3 Years,1-3 Times,Less than 1 Hour,Neutral,Yes,Frequently,5,No,Occasionally,No,Lower interest rates elsewhere
29,Female,Single,No,Yes,No,Rural Area,Yes,No,9,28000,No,No,Debt Consolidation,Yes,13,601500,No,No,I don't have a specific budget,No,Federal Bank,More than 3 Years,1-3 Times,Less than 1 Hour,Very satisfied,Yes,Frequently,4,No,Rarely,No,Lower interest rates elsewhere
29,Female,"Conjugal (Married, Live-in, Co live)",Yes,Yes,No,Tier 1 City,Yes,No,12,22600,No,Yes,Debt Consolidation,Yes,16,657500,No,No,I don't have a specific budget,Yes,SBI,More than 3 Years,1-3 Times,Less than 1 Hour,Neutral,Yes,Frequently,5,No,Frequently,No,Lower interest rates elsewhere
30,Female,Single,Yes,No,No,Tier 1 City,No,Yes,14,23800,No,No,Debt Consolidation,Yes,13,689500,No,No,I don't have a specific budget,Yes,"Canara, HDFC ",More than 3 Years,1-3 Times,Less than 1 Hour,Very satisfied,No,Frequently,5,No,Rarely,No,Lower interest rates elsewhere
30,Male,Single,Yes,Yes,Yes,Tier 1 City,Yes,Yes,23,29000,No,No,Medical ,Yes,16,705500,No,No,I don't have a specific budget,Yes,Federal Bank,More than 3 Years,1-3 Times,Less than 1 Hour,Very satisfied,Yes,Very Frequently,3,No,Occasionally,No,Lower interest rates elsewhere
31,Male,"Conjugal (Married, Live-in, Co live)",Yes,Yes,No,Rural Area,Yes,No,5,37000,No,No,Medical ,Yes,14,761500,No,No,I don't have a specific budget,No,Canara bank ,More than 3 Years,1-3 Times,Less than 1 Hour,Neutral,Yes,Very Frequently,5,No,Rarely,No,Lower interest rates elsewhere
33,Female,"Conjugal (Married, Live-in, Co live)",No,No,Yes,Tier 2 City,No,Yes,16,56000,No,Yes,Ventures,Yes,16,929500,No,No,I don't have a specific budget,Yes,Axis bank,More than 3 Years,1-3 Times,Less than 1 Hour,Neutral,Yes,Occassionally,4,No,Occasionally,No,Lower interest rates elsewhere
34,Male,Single,Yes,No,No,Rural Area,No,No,18,44000,No,No,Debt Consolidation,No,7,961500,No,No,I don't have a specific budget,No,Federal Bank,More than 3 Years,1-3 Times,Less than 1 Hour,Very satisfied,Yes,Occassionally,5,No,Rarely,No,Lower interest rates elsewhere
34,Male,Single,No,No,No,Tier 1 City,Yes,No,21,44470,No,Yes,Debt Consolidation,Yes,14,1017500,No,No,I don't have a specific budget,Yes,SBI,More than 3 Years,1-3 Times,Less than 1 Hour,Neutral,Yes,Occassionally,4,No,Frequently,No,Lower interest rates elsewhere
35,Male,"Conjugal (Married, Live-in, Co live)",No,No,No,Tier 1 City,No,Yes,23,44665,No,No,Debt Consolidation,Yes,13,1041500,Yes,No,I maintain a budget,Yes,"Canara, HDFC ",More than 3 Years,1-3 Times,Less than 1 Hour,Very satisfied,Yes,Occassionally,5,No,Rarely,No,Lower interest rates elsewhere
22,Male,Single,No,Yes,No,Tier 1 City,Yes,No,4,37000,No,Yes,Home Loan,Yes,15,42000,No,No,I don't have a specific budget,No,SBI,More than 3 Years,1-3 Times,More than 1 Hour,Neutral,Yes,Very Frequently,5,No,Occasionally,No,Lower interest rates elsewhere
37,Male,Single,No,No,Yes,Tier 1 City,No,Yes,19,68200,Yes,Yes,Debt Consolidation,No,6,1273500,Yes,Yes,I maintain a budget,Yes,Federal Bank,More than 3 Years,1-3 Times,More than 1 Hour,Very satisfied,No,Frequently,3,No,Occasionally,No,Recommendations from friends or family to switch
38,Female,Single,No,No,Yes,Tier 2 City,No,Yes,21,69100,Yes,No,Medical ,No,7,1297500,No,Yes,I maintain a budget,Yes,Axis bank,More than 3 Years,1-3 Times,Less than 1 Hour,Neutral,No,Rarely,5,No,Occasionally,No,Recommendations from friends or family to switch
38,Male,Single,No,Yes,Yes,Rural Area,Yes,Yes,23,45000,Yes,No,Debt Consolidation,Yes,12,1329500,No,No,I don't have a specific budget,Yes,SBI,More than 3 Years,1-3 Times,Less than 1 Hour,Very satisfied,No,Very Frequently,4,No,Frequently,No,Recommendations from friends or family to switch
39,Male,Single,No,No,No,Tier 1 City,No,Yes,9,71500,Yes,No,Medical ,No,7,1361500,No,Yes,I maintain a budget,Yes,"Canara, HDFC ",More than 3 Years,1-3 Times,Less than 1 Hour,Very satisfied,No,Almost Never,5,No,Rarely,No,Recommendations from friends or family to switch
39,Female,Single,No,Yes,No,Tier 1 City,Yes,Yes,11,45500,Yes,No,Home Loan,Yes,14,1393500,No,No,I don't have a specific budget,Yes,SBI,More than 3 Years,1-3 Times,More than 1 Hour,Neutral,No,Very Frequently,4,No,Frequently,No,Recommendations from friends or family to switch
39,Male,Single,Yes,No,Yes,Tier 1 City,No,Yes,13,73600,Yes,No,Medical ,No,8,1417500,No,Yes,I maintain a budget,Yes,Federal Bank,More than 3 Years,1-3 Times,More than 1 Hour,Very satisfied,No,Frequently,5,No,Occasionally,No,Recommendations from friends or family to switch
39,Male,Single,No,No,Yes,Tier 1 City,No,Yes,15,74800,Yes,Yes,Debt Consolidation,No,8,1449500,Yes,Yes,I maintain a budget,Yes,HDFC,Less than 3 Years,1-3 Times,More than 1 Hour,Neutral,No,Occassionally,5,No,Occasionally,No,Recommendations from friends or family to switch
40,Female,Single,No,No,No,Rural Area,Yes,Yes,16,75700,Yes,No,Medical ,No,6,1473500,Yes,Yes,I maintain a budget,Yes,Canara bank ,Less than 3 Years,1-3 Times,More than 1 Hour,Neutral,No,Almost Never,3,No,Occasionally,No,Recommendations from friends or family to switch
40,Male,"Conjugal (Married, Live-in, Co live)",Yes,No,No,Tier 1 City,No,Yes,18,76900,Yes,No,Medical ,No,7,1505500,Yes,Yes,I maintain a budget,Yes,"Canara, HDFC ",Less than 3 Years,1-3 Times,More than 1 Hour,Very satisfied,No,Almost Never,5,No,Occasionally,No,Recommendations from friends or family to switch
32,Male,Single,Yes,Yes,No,Rural Area,Yes,No,14,37000,No,No,Medical ,Yes,12,897500,No,No,I don't have a specific budget,Yes,Federal Bank,Less than 3 Years,1-3 Times,More than 1 Hour,Very satisfied,Yes,Very Frequently,4,No,Rarely,No,Recommendations from friends or family to switch
32,Male,Single,Yes,Yes,Yes,Tier 2 City,Yes,Yes,23,38720,No,Yes,Home Loan,Yes,12,785500,No,No,I maintain a budget,Yes,Axis bank,Less than 3 Years,1-3 Times,More than 1 Hour,Dissatisfied,Yes,Very Frequently,5,No,Rarely,Yes,Lower interest rates elsewhere
32,Female,Single,No,Yes,No,Rural Area,Yes,No,4,39450,No,No,Home Loan,Yes,14,809500,No,No,I maintain a budget,No,Federal Bank,Less than 3 Years,1-3 Times,More than 1 Hour,Dissatisfied,Yes,Very Frequently,4,No,Rarely,Yes,Lower interest rates elsewhere
32,Female,Single,No,Yes,Yes,Tier 2 City,Yes,Yes,7,39450,No,No,Medical ,Yes,15,865500,No,No,I maintain a budget,Yes,Axis bank,Less than 3 Years,1-3 Times,More than 1 Hour,Dissatisfied,Yes,Very Frequently,5,No,Rarely,Yes,Lower interest rates elsewhere
32,Male,Single,Yes,Yes,No,Rural Area,Yes,No,9,39450,No,No,Medical ,Yes,13,897500,No,No,I maintain a budget,No,Federal Bank,Less than 3 Years,1-3 Times,More than 1 Hour,Dissatisfied,Yes,Very Frequently,5,No,Rarely,Yes,Lower interest rates elsewhere
33,Male,Single,No,Yes,Yes,Tier 1 City,Yes,Yes,11,40000,No,No,Medical ,Yes,13,921500,No,Yes,I maintain a budget,Yes,HDFC,Less than 3 Years,1-3 Times,More than 1 Hour,Dissatisfied,Yes,Occassionally,3,No,Rarely,Yes,Lower interest rates elsewhere
34,Male,Single,No,No,Yes,Tier 2 City,No,Yes,14,64000,No,Yes,Home Loan,No,7,977500,Yes,No,I maintain a budget,Yes,Axis bank,Less than 3 Years,1-3 Times,More than 1 Hour,Dissatisfied,Yes,Occassionally,2,No,Occasionally,Yes,Lower interest rates elsewhere
35,Male,"Conjugal (Married, Live-in, Co live)",No,No,No,Tier 1 City,No,Yes,20,71500,Yes,Yes,Debt Consolidation,No,7,1065500,No,No,I maintain a budget,Yes,HDFC Bank,Less than 3 Years,1-3 Times,More than 1 Hour,Dissatisfied,Yes,Occassionally,2,No,Occasionally,Yes,Lower interest rates elsewhere
36,Male,"Conjugal (Married, Live-in, Co live)",No,No,No,Rural Area,Yes,Yes,21,71500,Yes,No,Medical ,No,4,1089500,No,No,I maintain a budget,No,Canara bank ,Less than 3 Years,1-3 Times,More than 1 Hour,Dissatisfied,Yes,Occassionally,3,No,Rarely,Yes,Lower interest rates elsewhere
36,Male,Single,Yes,No,No,Tier 1 City,No,Yes,23,71500,Yes,Yes,Home Loan,No,5,1121500,No,No,I maintain a budget,Yes,HDFC Bank,Less than 3 Years,1-3 Times,More than 1 Hour,Dissatisfied,Yes,Occassionally,2,No,Occasionally,Yes,Lower interest rates elsewhere
26,Male,Single,Yes,Yes,Yes,Tier 2 City,Yes,Yes,17,22300,No,Yes,Debt Consolidation,Yes,14,249500,No,No,I don't have a specific budget,No,Axis bank,Less than 3 Years,1-3 Times,More than 1 Hour,Dissatisfied,Yes,Frequently,2,No,Rarely,Yes,Recommendations from friends or family to switch
27,Female,Single,No,Yes,Yes,Tier 1 City,Yes,Yes,22,25300,No,Yes,Educational Loan,Yes,16,329500,No,No,I don't have a specific budget,Yes,HDFC,Less than 3 Years,1-3 Times,More than 1 Hour,Dissatisfied,Yes,Occassionally,3,No,Rarely,Yes,Recommendations from friends or family to switch
27,Male,"Conjugal (Married, Live-in, Co live)",Yes,Yes,No,Tier 1 City,Yes,Yes,9,26500,No,Yes,Debt Consolidation,Yes,13,361500,No,No,I don't have a specific budget,Yes,"Canara, HDFC ",Less than 3 Years,1-3 Times,More than 1 Hour,Dissatisfied,Yes,Frequently,2,No,Rarely,Yes,Recommendations from friends or family to switch
27,Female,Single,No,Yes,No,Rural Area,Yes,No,12,28600,Yes,Yes,Debt Consolidation,Yes,15,417500,No,No,I don't have a specific budget,No,Canara bank ,Less than 3 Years,1-3 Times,More than 1 Hour,Dissatisfied,Yes,Frequently,2,No,Rarely,Yes,Recommendations from friends or family to switch
28,Female,"Conjugal (Married, Live-in, Co live)",Yes,Yes,No,Tier 1 City,Yes,Yes,14,22000,Yes,No,Educational Loan,Yes,13,441500,No,No,I don't have a specific budget,Yes,HDFC Bank,Less than 3 Years,1-3 Times,More than 1 Hour,Dissatisfied,Yes,Frequently,3,No,Occasionally,Yes,Recommendations from friends or family to switch
28,Male,Single,Yes,Yes,Yes,Tier 1 City,Yes,Yes,16,23200,No,Yes,Debt Consolidation,Yes,13,473500,No,No,I don't have a specific budget,Yes,HDFC,Less than 3 Years,1-3 Times,More than 1 Hour,Dissatisfied,Yes,Frequently,2,No,Rarely,Yes,Recommendations from friends or family to switch
